,fecha
0,2020-03-01
1,2020-03-02
2,2020-03-03
3,2020-03-04
4,2020-03-05
5,2020-03-06
6,2020-03-07
7,2020-03-08
8,2020-03-09
9,2020-03-10
10,2020-03-11
11,2020-03-12
12,2020-03-13
13,2020-03-14
14,2020-03-15
15,2020-03-16
16,2020-03-17
17,2020-03-18
18,2020-03-19
19,2020-03-20
20,2020-03-21
21,2020-03-22
22,2020-03-23
23,2020-03-24
24,2020-03-25
25,2020-03-26
26,2020-03-27
27,2020-03-28
28,2020-03-29
29,2020-03-30
30,2020-03-31
31,2020-04-01
32,2020-04-02
33,2020-04-03
34,2020-04-04
35,2020-04-05
36,2020-04-06
37,2020-04-07
38,2020-04-08
39,2020-04-09
40,2020-04-10
41,2020-04-11
42,2020-04-12
43,2020-04-13
44,2020-04-14
45,2020-04-15
46,2020-04-16
47,2020-04-17
48,2020-04-18
49,2020-04-19
50,2020-04-20
51,2020-04-21
52,2020-04-22
53,2020-04-23
54,2020-04-24
55,2020-04-25
56,2020-04-26
57,2020-04-27
58,2020-04-28
59,2020-04-29
60,2020-04-30
61,2020-05-01
62,2020-05-02
63,2020-05-03
64,2020-05-04
65,2020-05-05
66,2020-05-06
67,2020-05-07
68,2020-05-08
69,2020-05-09
70,2020-05-10
71,2020-05-11
72,2020-05-12
73,2020-05-13
74,2020-05-14
75,2020-05-15
76,2020-05-16
77,2020-05-17
78,2020-05-18
79,2020-05-19
80,2020-05-20
81,2020-05-21
82,2020-05-22
83,2020-05-23
84,2020-05-24
85,2020-05-25
86,2020-05-26
87,2020-05-27
88,2020-05-28
89,2020-05-29
90,2020-05-30
91,2020-05-31
92,2020-06-01
93,2020-06-02
94,2020-06-03
95,2020-06-04
96,2020-06-05
97,2020-06-06
98,2020-06-07
99,2020-06-08
100,2020-06-09
101,2020-06-10
102,2020-06-11
103,2020-06-12
104,2020-06-13
105,2020-06-14
106,2020-06-15
107,2020-06-16
108,2020-06-17
109,2020-06-18
110,2020-06-19
111,2020-06-20
112,2020-06-21
113,2020-06-22
114,2020-06-23
115,2020-06-24
116,2020-06-25
117,2020-06-26
118,2020-06-27
119,2020-06-28
120,2020-06-29
121,2020-06-30
122,2020-07-01
123,2020-07-02
124,2020-07-03
125,2020-07-04
126,2020-07-05
127,2020-07-06
128,2020-07-07
129,2020-07-08
130,2020-07-09
131,2020-07-10
132,2020-07-11
133,2020-07-12
134,2020-07-13
135,2020-07-14
136,2020-07-15
137,2020-07-16
138,2020-07-17
139,2020-07-18
140,2020-07-19
141,2020-07-20
142,2020-07-21
143,2020-07-22
144,2020-07-23
145,2020-07-24
146,2020-07-25
147,2020-07-26
148,2020-07-27
149,2020-07-28
150,2020-07-29
151,2020-07-30
152,2020-07-31
153,2020-08-01
154,2020-08-02
155,2020-08-03
156,2020-08-04
157,2020-08-05
158,2020-08-06
159,2020-08-07
160,2020-08-08
161,2020-08-09
162,2020-08-10
163,2020-08-11
164,2020-08-12
165,2020-08-13
166,2020-08-14
167,2020-08-15
168,2020-08-16
169,2020-08-17
170,2020-08-18
171,2020-08-19
172,2020-08-20
173,2020-08-21
174,2020-08-22
175,2020-08-23
176,2020-08-24
177,2020-08-25
178,2020-08-26
179,2020-08-27
180,2020-08-28
181,2020-08-29
182,2020-08-30
183,2020-08-31
184,2020-09-01
185,2020-09-02
186,2020-09-03
187,2020-09-04
188,2020-09-05
189,2020-09-06
190,2020-09-07
191,2020-09-08
192,2020-09-09
193,2020-09-10
194,2020-09-11
195,2020-09-12
196,2020-09-13
197,2020-09-14
198,2020-09-15
199,2020-09-16
200,2020-09-17
201,2020-09-18
202,2020-09-19
203,2020-09-20
204,2020-09-21
205,2020-09-22
206,2020-09-23
207,2020-09-24
208,2020-09-25
209,2020-09-26
210,2020-09-27
211,2020-09-28
212,2020-09-29
213,2020-09-30
214,2020-10-01
215,2020-10-02
216,2020-10-03
217,2020-10-04
218,2020-10-05
219,2020-10-06
220,2020-10-07
221,2020-10-08
222,2020-10-09
223,2020-10-10
224,2020-10-11
225,2020-10-12
226,2020-10-13
227,2020-10-14
228,2020-10-15
229,2020-10-16
230,2020-10-17
231,2020-10-18
232,2020-10-19
233,2020-10-20
234,2020-10-21
235,2020-10-22
236,2020-10-23
237,2020-10-24
238,2020-10-25
239,2020-10-26
240,2020-10-27
241,2020-10-28
242,2020-10-29
243,2020-10-30
244,2020-10-31
245,2020-11-01
246,2020-11-02
247,2020-11-03
248,2020-11-04
249,2020-11-05
250,2020-11-06
251,2020-11-07
252,2020-11-08
253,2020-11-09
254,2020-11-10
255,2020-11-11
256,2020-11-12
257,2020-11-13
258,2020-11-14
259,2020-11-15
260,2020-11-16
261,2020-11-17
262,2020-11-18
263,2020-11-19
264,2020-11-20
265,2020-11-21
266,2020-11-22
267,2020-11-23
268,2020-11-24
269,2020-11-25
270,2020-11-26
271,2020-11-27
272,2020-11-28
273,2020-11-29
274,2020-11-30
275,2020-12-01
276,2020-12-02
277,2020-12-03
278,2020-12-04
279,2020-12-05
280,2020-12-06
281,2020-12-07
282,2020-12-08
283,2020-12-09
284,2020-12-10
285,2020-12-11
286,2020-12-12
287,2020-12-13
288,2020-12-14
289,2020-12-15
290,2020-12-16
291,2020-12-17
292,2020-12-18
293,2020-12-19
294,2020-12-20
295,2020-12-21
296,2020-12-22
297,2020-12-23
298,2020-12-24
299,2020-12-25
300,2020-12-26
301,2020-12-27
302,2020-12-28
303,2020-12-29
304,2020-12-30
305,2020-12-31
306,2021-01-01
307,2021-01-02
308,2021-01-03
309,2021-01-04
310,2021-01-05
311,2021-01-06
312,2021-01-07
313,2021-01-08
314,2021-01-09
315,2021-01-10
316,2021-01-11
317,2021-01-12
318,2021-01-13
319,2021-01-14
320,2021-01-15
321,2021-01-16
322,2021-01-17
323,2021-01-18
324,2021-01-19
325,2021-01-20
326,2021-01-21
327,2021-01-22
328,2021-01-23
329,2021-01-24
330,2021-01-25
331,2021-01-26
332,2021-01-27
333,2021-01-28
334,2021-01-29
335,2021-01-30
336,2021-01-31
